lk_id,latitude,elevation,groundwaterlevel
1001,54.8,33.9,20
1002,54.3,24.1,20
1003,53.9,11.2,12
1004,54.1,24.4,7.8
1051,54.1,6.2,7.7
1053,53.6,38,16.4
1054,54.6,5.6,7.1
1055,54.2,29.4,19.3
1056,53.7,10,9.9
1057,54.2,36.8,19.9
1058,54.3,19.3,13.8
1059,54.6,21.7,13.6
1060,53.9,34.1,13.7
1061,53.9,9.6,8.9
1062,53.7,38,19.1
2000,53.5,14.5,13.6
3101,52.3,78.8,19.5
3102,52.1,119.1,18.4
3103,52.4,81.9,16.6
3151,52.6,71.5,14.8
3152,51.5,252.7,19
3153,51.9,383.4,19
3154,52.3,119.9,18
3155,51.7,226.5,18.6
3156,51.7,352,18.9
3157,52.3,74.5,17.1
3158,52.1,129,18.4
3241,52.4,64.4,15.2
3251,52.7,38.4,11.4
3252,52.1,165.7,18.3
3254,52.1,143.9,18.7
3255,51.9,241.9,17.9
3256,52.6,36.3,9.8
3257,52.3,108.3,19.1
3351,52.7,59.5,14
3352,53.6,5.7,7.6
3353,53.3,46.2,14.3
3354,53,36.8,10.5
3355,53.2,36.7,13.3
3356,53.3,12.6,9.9
3357,53.3,26.9,11.4
3358,52.9,61.6,15.4
3359,53.6,12.9,8.6
3360,53,68.5,18.8
3361,53,20.3,9.8
3401,53.1,7.5,2.8
3402,53.4,1.1,2.9
3403,53.1,5.8,14.4
3404,52.3,78.6,17.9
3405,53.6,1.9,7.9
3451,53.2,7.8,12.5
3452,53.5,3.1,7
3453,52.9,23.7,9.1
3454,52.7,21.8,6.8
3455,53.5,3.7,8
3456,52.5,25.7,4.2
3457,53.2,2.7,5.4
3458,53,25.6,12.5
3459,52.4,73.2,11.7
3460,52.7,43.5,11.6
3461,53.4,0.7,1.5
3462,53.6,3.7,11.3
4011,53.1,4.9,10.9
4012,53.5,2.7,13
5111,51.2,46,12.2
5112,51.4,29.2,11.6
5113,51.4,86.2,16.7
5114,51.3,34.8,10.3
5116,51.2,66.5,18.6
5117,51.4,67.3,13.9
5119,51.5,44,5.4
5120,51.2,280.5,19.5
5122,51.2,166.9,18.7
5124,51.2,235.1,17.9
5154,51.7,24.6,8.2
5158,51.3,120,17.4
5162,51.1,52.2,10.8
5166,51.3,47.5,17.3
5170,51.6,29.9,6.3
5314,50.7,104.8,17.7
5315,50.9,50.5,11.3
5316,51.1,69.9,13.9
5334,50.7,304.8,19.8
5358,50.8,171.6,18.2
5362,50.9,86.5,16.8
5366,50.5,398.9,19.2
5370,51,72.9,16.2
5374,51,296.5,19.5
5378,51,180,19
5382,50.8,167.4,16.8
5512,51.6,52.8,9.1
5513,51.6,50.5,15.6
5515,52,58.3,16.1
5554,52,51.2,7.9
5558,51.9,76.9,14.8
5562,51.7,60.9,14.1
5566,52.2,59.1,7.5
5570,51.9,74.8,13.5
5711,52,126.5,17.9
5754,51.9,89.2,7.3
5758,52.2,108.3,17.1
5762,51.7,226.3,18.6
5766,52,191.2,19.4
5770,52.4,63.6,9
5774,51.7,227.8,16.2
5911,51.5,102.7,19.7
5913,51.5,101.9,18.5
5914,51.3,208.3,14
5915,51.7,69.7,16.1
5916,51.5,60.9,11.9
5954,51.3,220.7,18
5958,51.3,446.5,18.5
5962,51.3,343.9,18.1
5966,51.1,419.4,18.6
5970,50.9,458.5,20
5974,51.6,184.7,18.5
5978,51.6,96.8,16.3
6411,49.9,146.5,19.8
6412,50.1,114.3,17.6
6413,50.1,113.8,15.8
6414,50.1,205.6,19.8
6431,49.6,224.1,14.6
6432,49.9,185.1,17.6
6433,49.9,89.9,6.8
6434,50.3,366.6,20
6435,50.2,279.9,18.7
6436,50.1,191.9,17.8
6437,49.7,342.8,19.9
6438,50,132.5,18.2
6439,50.1,348,19.9
6440,50.4,213.8,17.4
6531,50.6,234.6,18.4
6532,50.6,336,19.8
6533,50.4,244.8,20
6534,50.8,300.4,18.3
6535,50.6,377,19.5
6611,51.3,240.3,17
6631,50.6,415.5,19.3
6632,50.9,327.2,17.7
6633,51.4,277.7,17.7
6634,51,297.4,17.4
6635,51.2,375.7,19.7
6636,51.2,323.2,19.3
7111,50.3,170.2,19.1
7131,50.5,344.2,18.4
7132,50.8,306.3,20
7133,49.8,293.3,19.2
7134,49.7,452.2,20
7135,50.1,333.3,20
7137,50.3,274.4,19.3
7138,50.6,242.5,19.5
7140,50,401,20
7141,50.3,281.9,20
7143,50.6,370.8,20
7211,49.8,226.2,14.6
7231,49.9,353.2,19.8
7232,50.1,417.7,20
7233,50.2,486.1,19.9
7235,49.7,359.1,19.7
7311,49.5,92.5,3
7312,49.4,303.5,19.9
7313,49.2,249.6,17.2
7314,49.5,93.3,11.4
7315,50,152.1,18
7316,49.3,226.2,12.9
7317,49.2,367,20
7318,49.3,98.6,4.7
7319,49.6,110.2,7.9
7320,49.2,289.6,20
7331,49.8,185.1,17.6
7332,49.5,260.7,18.5
7333,49.6,303.9,19.6
7334,49.1,117,11.7
7335,49.4,320.5,19
7336,49.6,320,19.8
7337,49.2,247.8,18.1
7338,49.4,99.8,10.8
7339,49.9,187.4,17.7
7340,49.2,332.5,20
8111,48.8,355.5,20
8115,48.7,467,20
8116,48.6,403.6,20
8117,48.7,525.9,20
8118,48.9,280.4,20
8119,48.9,377,20
8121,49.2,204.3,20
8125,49.2,252.2,20
8126,49.3,333.1,20
8127,49.1,434.2,20
8128,49.6,331.4,20
8135,48.7,558.2,20
8136,48.9,507.4,20
8211,48.7,353.1,17.5
8212,49,134.7,13
8215,49.1,175,16.3
8216,48.8,341.9,13.9
8221,49.4,215.8,13.3
8222,49.5,95.7,12.7
8225,49.5,349.6,20
8226,49.4,204.2,16.8
8231,48.9,372.9,20
8235,48.7,595.6,20
8236,48.9,339.6,20
8237,48.5,661.3,20
8311,48,352.3,11.2
8315,47.9,625.5,18.4
8316,48.1,395.8,17.8
8317,48.4,337.8,14.2
8325,48.3,631.9,20
8326,48,806.4,19.5
8327,48,770.6,20
8335,47.8,526,19.4
8336,47.7,579.9,18.9
8337,47.7,686.4,20
8415,48.4,675.6,19.9
8416,48.5,446.8,18.4
8417,48.3,711.7,19.5
8421,48.4,537.2,14.8
8425,48.4,603.5,17.1
8426,48.1,588.6,16.4
8435,47.7,502.3,20
8436,47.8,631.3,19.5
8437,48,669.9,17.7
9161,48.8,372.2,9.8
9162,48.2,521.1,19.3
9163,47.8,454.8,8.8
9171,48.2,436.7,19.5
9172,47.7,969.1,16.2
9173,47.7,833.4,15.4
9174,48.3,495.8,18.7
9175,48.1,543.3,19.3
9176,48.9,460.6,19.5
9177,48.3,485.8,17
9178,48.4,466.8,14.9
9179,48.2,541.5,19
9180,47.6,1120.6,16.6
9181,48,624.8,18.8
9182,47.7,924.1,19.7
9183,48.2,469.6,18.8
9184,48.1,569.9,18.8
9185,48.7,415.2,13.2
9186,48.6,436.4,17.2
9187,47.9,595.7,16.2
9188,48,613.5,19.3
9189,47.9,656.4,18
9190,47.8,702.1,16.3
9261,48.5,414.1,7.8
9262,48.6,356.6,20
9263,48.9,326.6,10.9
9271,48.8,397.8,15.7
9272,48.8,712.5,19.7
9273,48.8,421.4,19.4
9274,48.6,457.9,18.8
9275,48.6,432,18.2
9276,49,705.2,20
9277,48.4,436.3,19.2
9278,48.9,422,17.9
9279,48.6,404.3,16.3
9361,49.5,411,20
9362,49,357.5,18.8
9363,49.7,443.3,16.9
9371,49.5,462.2,20
9372,49.2,520.8,19.7
9373,49.2,487.8,20
9374,49.7,497.5,19.4
9375,49,416.9,18.4
9376,49.4,454,18.6
9377,49.9,570,19.8
9461,49.9,262.2,10.3
9462,49.9,381.3,20
9463,50.3,334.6,20
9464,50.3,528.9,20
9471,49.9,349,19.1
9472,49.9,494.9,20
9473,50.3,349.4,19.8
9474,49.7,393.2,19.4
9475,50.3,578.2,19.3
9476,50.3,493.3,19.8
9477,50.1,440.6,20
9478,50.1,364,19.5
9479,50.1,596.7,19.4
9561,49.3,454,20
9562,49.6,292.3,20
9563,49.5,304,20
9564,49.4,320.9,18.4
9565,49.3,349.6,20
9571,49.2,446.1,19.9
9572,49.6,316.3,19.8
9573,49.4,352,20
9574,49.5,429.4,20
9575,49.6,352.7,20
9576,49.2,411.7,20
9577,49,485.1,19.9
9661,50,166.1,20
9662,50,233.7,15.1
9663,49.8,251.5,20
9671,50,289.5,19.6
9672,50.2,370.6,20
9673,50.4,394.7,19.9
9674,50.1,323.3,19.1
9675,49.8,275.4,20
9676,49.8,288.8,20
9677,50,302.1,20
9678,50,286.1,19.5
9679,49.7,292.9,20
9761,48.3,491.8,10.9
9762,47.9,724.9,20
9763,47.7,724.2,18
9764,48,616.2,14.5
9771,48.4,485.6,17
9772,48.4,507.4,16.3
9773,48.6,452.5,14.4
9774,48.4,503.4,14.6
9775,48.3,512.4,13.1
9776,47.6,664.5,19.9
9777,47.8,835.3,16.4
9778,48,621.9,17.5
9779,48.8,458.9,16.8
9780,47.6,1055.3,17.4
10041,49.3,267.3,20
10042,49.5,312.9,19.7
10043,49.4,313.3,20
10044,49.4,255.5,17.6
10045,49.2,288.2,19.7
10046,49.5,392.3,20
11000,52.5,42.2,19.6
12051,52.4,32.5,5.5
12052,51.8,69.2,12.6
12053,52.3,71.5,17.3
12054,52.4,36.7,13.2
12060,52.8,59.4,18.3
12061,52,57.4,15.5
12062,51.6,98.7,8.9
12063,52.6,33.4,8.1
12064,52.6,46.6,13
12065,52.9,50.6,12.2
12066,51.6,97.3,13.8
12067,52.2,58.2,17.6
12068,53,55.3,12.7
12069,52.2,68.4,13.6
12070,53.1,51.8,13.7
12071,51.8,87.3,14.1
12072,52.1,70.5,13.2
12073,53.2,54.3,15.6
13003,54.1,9.6,7.2
13004,53.6,50.1,17.9
13071,53.5,61.4,17.1
13072,53.9,36.1,15.4
13073,54.3,14.4,3.9
13074,53.8,42.3,13
13075,53.8,17,9.1
13076,53.4,43.1,12.3
14511,50.8,363.7,19.5
14521,50.6,604.8,19.9
14522,51,354.9,18.4
14523,50.5,522.6,19.6
14524,50.8,343.2,18.9
14612,51.1,192.1,19.3
14625,51.3,196.3,15.3
14626,51.2,221.5,15.6
14627,51.2,155.3,15.6
14628,50.9,383.1,19.3
14713,51.3,123.2,17.6
14729,51.2,156.6,18.8
14730,51.5,117.7,15.3
15001,51.9,68.3,11.2
15002,51.5,96.3,17.4
15003,52.1,58.2,13.5
15081,52.7,53.1,12.4
15082,51.8,80.8,13.8
15083,52.2,96.5,14.9
15084,51.1,196.7,17.8
15085,51.8,283.6,18.4
15086,52.3,55.9,9.2
15087,51.5,243.3,17.9
15088,51.4,139.3,18.2
15089,51.9,90,14.4
15090,52.7,35.5,7.7
15091,51.8,91.2,11.5
16051,51,251.9,18.1
16052,50.9,265.6,17.9
16053,50.9,271.3,17.2
16054,50.6,569.6,20
16055,51,300,18.2
16056,51,293.6,15.7
16061,51.4,343.8,19.6
16062,51.5,284.3,17.3
16063,50.9,352.9,17.9
16064,51.2,285.7,18.2
16065,51.3,252.5,16.5
16066,50.6,465,18.9
16067,50.9,384,17.5
16068,51.2,182.4,14.5
16069,50.4,448.5,19.2
16070,50.7,489.6,18.8
16071,51,298.5,18.6
16072,50.4,572.4,19.4
16073,50.6,450.3,19.2
16074,50.9,291.8,18.9
16075,50.6,470.6,20
16076,50.7,345.1,19.8
16077,51,228.2,18.9
