"name","run.no.in.std.order","run.no","run.no.std.rp","GroundWaterLevel","ImpenetrableLayer","Slope","SowingDate","HarvestDate","LandCover","Nresponse_and_Fertil","WaterDeficitResponse","LeafExtensionModifier","Calibration"
"1","1",1,"1","false","false","false","fixed","fixed","false","false","false","true","true"
"2","2",2,"2","true","false","false","fixed","fixed","true","true","true","false","true"
"3","3",3,"3","false","true","false","fixed","fixed","true","true","true","true","false"
"4","4",4,"4","true","true","false","fixed","fixed","false","false","false","false","false"
"5","5",5,"5","false","false","true","fixed","fixed","true","false","false","false","false"
"6","6",6,"6","true","false","true","fixed","fixed","false","true","true","true","false"
"7","7",7,"7","false","true","true","fixed","fixed","false","true","true","false","true"
"8","8",8,"8","true","true","true","fixed","fixed","true","false","false","true","true"
"9","9",9,"9","false","false","false","auto","fixed","false","true","false","false","false"
"10","10",10,"10","true","false","false","auto","fixed","true","false","true","true","false"
"11","11",11,"11","false","true","false","auto","fixed","true","false","true","false","true"
"12","12",12,"12","true","true","false","auto","fixed","false","true","false","true","true"
"13","13",13,"13","false","false","true","auto","fixed","true","true","false","true","true"
"14","14",14,"14","true","false","true","auto","fixed","false","false","true","false","true"
"15","15",15,"15","false","true","true","auto","fixed","false","false","true","true","false"
"16","16",16,"16","true","true","true","auto","fixed","true","true","false","false","false"
"17","17",17,"17","false","false","false","fixed","auto","false","false","true","false","false"
"18","18",18,"18","true","false","false","fixed","auto","true","true","false","true","false"
"19","19",19,"19","false","true","false","fixed","auto","true","true","false","false","true"
"20","20",20,"20","true","true","false","fixed","auto","false","false","true","true","true"
"21","21",21,"21","false","false","true","fixed","auto","true","false","true","true","true"
"22","22",22,"22","true","false","true","fixed","auto","false","true","false","false","true"
"23","23",23,"23","false","true","true","fixed","auto","false","true","false","true","false"
"24","24",24,"24","true","true","true","fixed","auto","true","false","true","false","false"
"25","25",25,"25","false","false","false","auto","auto","false","true","true","true","true"
"26","26",26,"26","true","false","false","auto","auto","true","false","false","false","true"
"27","27",27,"27","false","true","false","auto","auto","true","false","false","true","false"
"28","28",28,"28","true","true","false","auto","auto","false","true","true","false","false"
"29","29",29,"29","false","false","true","auto","auto","true","true","true","false","false"
"30","30",30,"30","true","false","true","auto","auto","false","false","false","true","false"
"31","31",31,"31","false","true","true","auto","auto","false","false","false","false","true"
"32","32",32,"32","true","true","true","auto","auto","true","true","true","true","true"
